1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Fabiola Jackson
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,Virgie Wiggins
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Fabiola Jackson
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Virgie Wiggins
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Fabiola Jackson
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Genna Serrano
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Virgie Wiggins
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Fabiola Jackson
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Virgie Wiggins
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Fabiola Jackson
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
1,2016-01-01,Pleasanton,CA,Johnathan Velazquez,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
